,text,normalized,preprocessed,sentiment,emotion,stripped
13,We’re LIVE with @FacebookGaming for #PLAYLOUD. Join me and @Stonemountain64 as we're bringing the world's of music… https://t.co/9wkbXYSNYt,We're LIVE with @USER for #PLAYLOUD. Join me and @USER as we're bringing the world's of music... HTTPURL,Were LIVE with @user for playloud. Join me and @user as we're bringing the world's of music url,POS,joy,Were LIVE with @user for playloud. Join me and @user as we're bringing the world's of music 
14,"HIP HOP ALBUM OF THE YEAR
KHALED KHALED DJ KHALED

PRODUCER OF THE YEAR
DJ KHALED

BEST COLLABORATION
DJ KHALED FEA… https://t.co/s59ICDeZBc",HIP HOP ALBUM OF THE YEAR KHALED KHALED DJ KHALED PRODUCER OF THE YEAR DJ KHALED BEST COLLABORATION DJ KHALED FEA... HTTPURL,"HIP HOP ALBUM OF THE YEAR
KHALED KHALED DJ KHALED

PRODUCER OF THE YEAR
DJ KHALED

BEST COLLABORATION
DJ KHALED FEA url",POS,joy,"HIP HOP ALBUM OF THE YEAR
KHALED KHALED DJ KHALED

PRODUCER OF THE YEAR
DJ KHALED

BEST COLLABORATION
DJ KHALED FEA "
15,"This Friday at 1pm est, I’m going LIVE at @FacebookGaming with @Stonemountain64 for #PLAYLOUD, a very special lives… https://t.co/irMoJb2eeR","This Friday at 1pm est, I'm going LIVE at @USER with @USER for #PLAYLOUD, a very special lives... HTTPURL","This Friday at 1pm est, Im going LIVE at @user with @user for playloud, a very special lives url",POS,joy,"This Friday at 1pm est, Im going LIVE at @user with @user for playloud, a very special lives "
16,"#FANLUV EVERY CHANCE I GET #SONGOFSUMMER !! VOTE NOW!! On @mtv ig story 
@djkhaled @lilbaby @lildurk https://t.co/hDAq1SLM2F",#FANLUV EVERY CHANCE I GET #SONGOFSUMMER!! VOTE NOW!! On @USER ig story @USER @USER @USER HTTPURL,"fanluv EVERY CHANCE I GET songofsummer !! VOTE NOW!! On @user ig story 
@user @user @user url",POS,joy,"fanluv EVERY CHANCE I GET songofsummer !! VOTE NOW!! On @user ig story 
@user @user @user "
17,"#FANLUV EVERY CHANCE I GET #SONGOFSUMMER !! VOTE NOW!! On @mtv ig story 
@djkhaled @lilbaby @lildurk https://t.co/I3E0F8IoPv",#FANLUV EVERY CHANCE I GET #SONGOFSUMMER!! VOTE NOW!! On @USER ig story @USER @USER @USER HTTPURL,"fanluv EVERY CHANCE I GET songofsummer !! VOTE NOW!! On @user ig story 
@user @user @user url",POS,joy,"fanluv EVERY CHANCE I GET songofsummer !! VOTE NOW!! On @user ig story 
@user @user @user "
18,"#FANLUV EVERY CHANCE I GET #SONGOFSUMMER !! VOTE NOW!! On @mtv ig story 
@djkhaled @lilbaby @lildurk https://t.co/HUMbodA5gj",#FANLUV EVERY CHANCE I GET #SONGOFSUMMER!! VOTE NOW!! On @USER ig story @USER @USER @USER HTTPURL,"fanluv EVERY CHANCE I GET songofsummer !! VOTE NOW!! On @user ig story 
@user @user @user url",POS,joy,"fanluv EVERY CHANCE I GET songofsummer !! VOTE NOW!! On @user ig story 
@user @user @user "
19,"Fan luv RUN IT 🆙 beak the server ! 
FAN LUV “Every Chance I Get” @djkhaled FT. @lilbaby @lildurk is nominated for S… https://t.co/os4rbH17Td",Fan luv RUN IT :UP!_button: beak the server! FAN LUV “ Every Chance I Get ” @USER FT. @USER @USER is nominated for S... HTTPURL,"Fan luv RUN IT  emoji UP! button emoji  beak the server ! 
FAN LUV ""Every Chance I Get"" @user FT. @user @user is nominated for S url",POS,others,"Fan luv RUN IT  emoji UP! button emoji  beak the server ! 
FAN LUV ""Every Chance I Get"" @user FT. @user @user is nominated for S "
20,"Fan luv RUN IT 🆙 beak the server ! 
FAN LUV “Every Chance I Get” @djkhaled FT. @lilbaby @lildurk is nominated for S… https://t.co/9XOspGFHI0",Fan luv RUN IT :UP!_button: beak the server! FAN LUV “ Every Chance I Get ” @USER FT. @USER @USER is nominated for S... HTTPURL,"Fan luv RUN IT  emoji UP! button emoji  beak the server ! 
FAN LUV ""Every Chance I Get"" @user FT. @user @user is nominated for S url",POS,others,"Fan luv RUN IT  emoji UP! button emoji  beak the server ! 
FAN LUV ""Every Chance I Get"" @user FT. @user @user is nominated for S "
21,"Fan luv RUN IT 🆙 beak the server ! 
FAN LUV “Every Chance I Get” @djkhaled FT. @lilbaby @lildurk is nominated for S… https://t.co/ElFL7wWbhk",Fan luv RUN IT :UP!_button: beak the server! FAN LUV “ Every Chance I Get ” @USER FT. @USER @USER is nominated for S... HTTPURL,"Fan luv RUN IT  emoji UP! button emoji  beak the server ! 
FAN LUV ""Every Chance I Get"" @user FT. @user @user is nominated for S url",POS,others,"Fan luv RUN IT  emoji UP! button emoji  beak the server ! 
FAN LUV ""Every Chance I Get"" @user FT. @user @user is nominated for S "
22,Bless up fan  luv let’s go! https://t.co/5Bri7MvgDE,Bless up fan luv let's go! HTTPURL,Bless up fan  luv lets go! url,POS,joy,Bless up fan  luv lets go! 
23,Bless up Thank u https://t.co/ZgsvZRgePh,Bless up Thank u HTTPURL,Bless up Thank u url,POS,joy,Bless up Thank u 
24,"KEEP GOING ! 
Sending love and blessings to everyone, LOVE AND LIGHT ! BLESS UP!","KEEP GOING! Sending love and blessings to everyone, LOVE AND LIGHT! BLESS UP!","KEEP GOING ! 
Sending love and blessings to everyone, LOVE AND LIGHT ! BLESS UP!",POS,joy,"KEEP GOING ! 
Sending love and blessings to everyone, LOVE AND LIGHT ! BLESS UP!"
25,SHOW US HOW YOU DID IT! CREATE A VIDEO SHOWING HOW YOU OVERCAME ANY OBSTACLES AND CONTINUED TO BE GREAT! THE… https://t.co/2ru9SrB1Ec,SHOW US HOW YOU DID IT! CREATE A VIDEO SHOWING HOW YOU OVERCAME ANY OBSTACLES AND CONTINUED TO BE GREAT! THE... HTTPURL,SHOW US HOW YOU DID IT! CREATE A VIDEO SHOWING HOW YOU OVERCAME ANY OBSTACLES AND CONTINUED TO BE GREAT! THE url,POS,joy,SHOW US HOW YOU DID IT! CREATE A VIDEO SHOWING HOW YOU OVERCAME ANY OBSTACLES AND CONTINUED TO BE GREAT! THE 
26,#THANKFUL https://t.co/KciE4xfjbZ,#THANKFUL HTTPURL,thankful url,POS,joy,thankful 
27,Can u send me the video of this https://t.co/LLGQLV3v70,Can u send me the video of this HTTPURL,Can u send me the video of this url,NEU,others,Can u send me the video of this 
28,"Officially in stores world 🌎 wide in every @dolcegabbana store 🏬 🦩🦓🔑🦋🌺🔑🌞🆙🏝
tell em khaled khaled sent you . 
Enjoy… https://t.co/DAbtwmGgji",Officially in stores world :globe_showing_Americas: wide in every @USER store :department_store: :flamingo: ebra: :key: :butterfly: :hibiscus: :key: :sun_with_face: :UP!_button: :desert_island: tell em khaled khaled sent you. Enjoy... HTTPURL,"Officially in stores world  emoji globe showing Americas emoji  wide in every @user store  emoji department store emoji   emoji flamingo emoji  emoji zebra emoji  emoji key emoji  emoji butterfly emoji  emoji hibiscus emoji  emoji key emoji  emoji sun with face emoji  emoji UP! button emoji  emoji desert island emoji 
tell em khaled khaled sent you . 
Enjoy url",POS,joy,"Officially in stores world  emoji globe showing Americas emoji  wide in every @user store  emoji department store emoji   emoji flamingo emoji  emoji zebra emoji  emoji key emoji  emoji butterfly emoji  emoji hibiscus emoji  emoji key emoji  emoji sun with face emoji  emoji UP! button emoji  emoji desert island emoji 
tell em khaled khaled sent you . 
Enjoy "
29,KEEP GOING ! #WETHEBEST,KEEP GOING! #WETHEBEST,KEEP GOING ! wethebest,POS,joy,KEEP GOING ! wethebest
30,"KEEP GOING !!!!!!!!!!!
SONG OF THE YEAR , OF COURSE SONG OF THE SUMMER . #EVERYCHANCEIGET @djkhaled @lilbaby… https://t.co/f4NN0ZBs2L","KEEP GOING!!! SONG OF THE YEAR, OF COURSE SONG OF THE SUMMER. #EVERYCHANCEIGET @USER @USER... HTTPURL","KEEP GOING !!!
SONG OF THE YEAR , OF COURSE SONG OF THE SUMMER . everychanceiget @user @user url",POS,joy,"KEEP GOING !!!
SONG OF THE YEAR , OF COURSE SONG OF THE SUMMER . everychanceiget @user @user "
31,"SONG OF THE YEAR , OF COURSE SONG OF THE SUMMER . #EVERYCHANCEIGET 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/dHEopLZwla","SONG OF THE YEAR, OF COURSE SONG OF THE SUMMER. #EVERYCHANCEIGET :fire: :fire: :fire: HTTPURL","SONG OF THE YEAR , OF COURSE SONG OF THE SUMMER . everychanceiget  emoji fire emoji  emoji fire emoji  emoji fire emoji  url",POS,joy,"SONG OF THE YEAR , OF COURSE SONG OF THE SUMMER . everychanceiget  emoji fire emoji  emoji fire emoji  emoji fire emoji  "
32,"Greatness talk #EVERYCHANCEIGET 
@djkhaled @lilbaby @lildurk 
Thank you @recordingacademy for having me !… https://t.co/nLvsBEiU3W",Greatness talk #EVERYCHANCEIGET @USER @USER @USER Thank you @USER for having me!... HTTPURL,"Greatness talk everychanceiget 
@user @user @user 
Thank you @usery for having me ! url",POS,joy,"Greatness talk everychanceiget 
@user @user @user 
Thank you @usery for having me ! "
33,"Thank u ! 
Working on a new book you going love it each 🔑 leads to the next 🔑 . https://t.co/OPOd8XmnxJ",Thank u! Working on a new book you going love it each :key: leads to the next :key:. HTTPURL,"Thank u ! 
Working on a new book you going love it each  emoji key emoji  leads to the next  emoji key emoji  . url",POS,joy,"Thank u ! 
Working on a new book you going love it each  emoji key emoji  leads to the next  emoji key emoji  . "
34,4 years ago I was very blessed to give the world 🌎 #GRATEFUL WIT THE BIGGEST ANTHEMS LIKE #WILDTHOUGHTS #IMTHEONE… https://t.co/103QRnlO0i,4 years ago I was very blessed to give the world :globe_showing_Americas: #GRATEFUL WIT THE BIGGEST ANTHEMS LIKE #WILDTHOUGHTS #IMTHEONE... HTTPURL,4 years ago I was very blessed to give the world  emoji globe showing Americas emoji  grateful WIT THE BIGGEST ANTHEMS LIKE wildthoughts imtheone url,POS,joy,4 years ago I was very blessed to give the world  emoji globe showing Americas emoji  grateful WIT THE BIGGEST ANTHEMS LIKE wildthoughts imtheone 
35,"JUNE 29 ! #DGxKHALEDKHALED WILL BE IN STORES WORLD 🌎 WIDE JUNE 29 ! 
In every @dolcegabbana store 🏬 tell em KHALED… https://t.co/yWgNNd4hMO",JUNE 29! #DGxKHALEDKHALED WILL BE IN STORES WORLD :globe_showing_Americas: WIDE JUNE 29! In every @USER store :department_store: tell em KHALED... HTTPURL,"JUNE 29 ! dgx khaledkhaled WILL BE IN STORES WORLD  emoji globe showing Americas emoji  WIDE JUNE 29 ! 
In every @user store  emoji department store emoji  tell em KHALED url",POS,others,"JUNE 29 ! dgx khaledkhaled WILL BE IN STORES WORLD  emoji globe showing Americas emoji  WIDE JUNE 29 ! 
In every @user store  emoji department store emoji  tell em KHALED "
36,Happy Father’s Day from the khaled family and @VibeMagazine https://t.co/XK7c7Huvht,Happy Father's Day from the khaled family and @USER HTTPURL,Happy Fathers Day from the khaled family and @user url,POS,joy,Happy Fathers Day from the khaled family and @user 
37,Thank u https://t.co/JSV1ODnnLR,Thank u HTTPURL,Thank u url,POS,others,Thank u 
38,"THANK YOU 🤲🏽
#WETHEBEST ⭐️ https://t.co/PUVzWVyLKa",THANK YOU :palms_up_together: :medium_skin_tone: #WETHEBEST :star: HTTPURL,"THANK YOU  emoji palms up together medium skin tone emoji 
wethebest  emoji star emoji  url",POS,joy,"THANK YOU  emoji palms up together medium skin tone emoji 
wethebest  emoji star emoji  "
39,"#EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆 @riaa_awards 
@djkhaled @lilbaby @lildurk @taykeith @riaa_awards… https://t.co/o1h1CJx59a",#EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD :trophy: @USER @USER @USER @USER @USER @USER... HTTPURL,"everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji  @user 
@user @user @user @user @user url",POS,joy,"everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji  @user 
@user @user @user @user @user "
40,"#EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆 @riaa_awards 
@djkhaled @lilbaby @lildurk @taykeith @riaa_awards… https://t.co/zczJgDCvEk",#EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD :trophy: @USER @USER @USER @USER @USER @USER... HTTPURL,"everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji  @user 
@user @user @user @user @user url",POS,joy,"everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji  @user 
@user @user @user @user @user "
41,"#EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆 @riaa_awards 
@djkhaled @lilbaby @lildurk @taykeith @riaa_awards… https://t.co/0hDchJoIJs",#EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD :trophy: @USER @USER @USER @USER @USER @USER... HTTPURL,"everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji  @user 
@user @user @user @user @user url",POS,joy,"everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji  @user 
@user @user @user @user @user "
42,"Bless up all the fans #EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆 @riaa_awards 
@djkhaled @lilbaby @lildurk… https://t.co/PwBtGuJoVl",Bless up all the fans #EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD :trophy: @USER @USER @USER @USER... HTTPURL,"Bless up all the fans everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji  @user 
@user @user @user url",POS,joy,"Bless up all the fans everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji  @user 
@user @user @user "
43,"Bless up all the fans #EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD 🏆
@djkhaled @lilbaby @lildurk @taykeith… https://t.co/qn6Y3lR7Hs",Bless up all the fans #EVERYCHANCEIGET OFFICIALLY CERTIFIED GOLD :trophy: @USER @USER @USER @USER... HTTPURL,"Bless up all the fans everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji 
@user @user @user @user url",POS,joy,"Bless up all the fans everychanceiget OFFICIALLY CERTIFIED GOLD  emoji trophy emoji 
@user @user @user @user "
44,🔥🔥🔥🔥🔥🔥🔥 https://t.co/sGivkjmHp7,:fire: :fire: :fire: HTTPURL,emoji fire emoji  emoji fire emoji  emoji fire emoji  url,NEU,others,emoji fire emoji  emoji fire emoji  emoji fire emoji  
45,Let’s go !!!!! Let’s go even harder everyone stream #Culture3 now let’s go !!!! https://t.co/KMz478NfOk,Let's go!!! Let's go even harder everyone stream #Culture3 now let's go!!! HTTPURL,Lets go !!! Lets go even harder everyone stream culture3 now lets go !!! url,POS,others,Lets go !!! Lets go even harder everyone stream culture3 now lets go !!! 
48,🎶🥊 fun night https://t.co/9wUI9ompPB,:musical_notes: :boxing_glove: fun night HTTPURL,emoji musical notes emoji  emoji boxing glove emoji  fun night url,POS,joy,emoji musical notes emoji  emoji boxing glove emoji  fun night 
50,"🦩🔑LINK IN MY BIO AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY

Introducing the Second Drop of #DGxKhaled, the… https://t.co/CSEgZZeHIw",":flamingo: :key: LINK IN MY BIO AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY Introducing the Second Drop of #DGxKhaled, the... HTTPURL","emoji flamingo emoji  emoji key emoji LINK IN MY BIO AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY

Introducing the Second Drop of dgx khaled, the url",POS,others,"emoji flamingo emoji  emoji key emoji LINK IN MY BIO AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY

Introducing the Second Drop of dgx khaled, the "
51,"🦩🔑l AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY

Introducing the Second Drop of #DGxKhaled, the… https://t.co/oLkK6OA8BP",":flamingo: :key: l AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY Introducing the Second Drop of #DGxKhaled, the... HTTPURL","emoji flamingo emoji  emoji key emoji l AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY

Introducing the Second Drop of dgx khaled, the url",POS,others,"emoji flamingo emoji  emoji key emoji l AVAILABLE FOR MEN LADIES KIDS THE WHOLE FAMILY

Introducing the Second Drop of dgx khaled, the "
52,"Introducing the Second Drop of #DGxKhaled, the #DolceGabbanaSpecial Collection created in collaboration with… https://t.co/PK4h9UAsOH","Introducing the Second Drop of #DGxKhaled, the #DolceGabbanaSpecial Collection created in collaboration with... HTTPURL","Introducing the Second Drop of dgx khaled, the dolce gabbana special Collection created in collaboration with url",NEU,others,"Introducing the Second Drop of dgx khaled, the dolce gabbana special Collection created in collaboration with "
53,🦩🔑 link in my bio https://t.co/l6pBZdkUPx,:flamingo: :key: link in my bio HTTPURL,emoji flamingo emoji  emoji key emoji  link in my bio url,NEU,others,emoji flamingo emoji  emoji key emoji  link in my bio 
54,"LINK IN MY BIO NOW ! 🦩🔑
Introducing the Second Drop of #DGxKhaled, the #DolceGabbanaSpecial Collection created in c… https://t.co/srRosU7GSZ","LINK IN MY BIO NOW! :flamingo: :key: Introducing the Second Drop of #DGxKhaled, the #DolceGabbanaSpecial Collection created in c... HTTPURL","LINK IN MY BIO NOW !  emoji flamingo emoji  emoji key emoji 
Introducing the Second Drop of dgx khaled, the dolce gabbana special Collection created in c url",NEU,others,"LINK IN MY BIO NOW !  emoji flamingo emoji  emoji key emoji 
Introducing the Second Drop of dgx khaled, the dolce gabbana special Collection created in c "
55,"#EVERYCHANCEIGET 
#IDIDIT
#KHALEDKHALED",#EVERYCHANCEIGET #IDIDIT #KHALEDKHALED,"everychanceiget 
ididit
khaledkhaled",NEU,others,"everychanceiget 
ididit
khaledkhaled"
56,"Something coming Tommorow 🦩
KHALED KHALED WE THE BEST IN ALL CATEGORIES 🔑 https://t.co/aLotywbesy",Something coming Tommorow :flamingo: KHALED KHALED WE THE BEST IN ALL CATEGORIES :key: HTTPURL,"Something coming Tommorow  emoji flamingo emoji 
KHALED KHALED WE THE BEST IN ALL CATEGORIES  emoji key emoji  url",POS,joy,"Something coming Tommorow  emoji flamingo emoji 
KHALED KHALED WE THE BEST IN ALL CATEGORIES  emoji key emoji  "
57,"#EVERYCHANCEIGET #KEEPGOING and #IDIDIT CONTEST COMING SOON . It’s going be so much fun ! #
#KHALEDKHALED certified… https://t.co/CGdldsAFi0",#EVERYCHANCEIGET #KEEPGOING and #IDIDIT CONTEST COMING SOON. It's going be so much fun! # #KHALEDKHALED certified... HTTPURL,"everychanceiget keepgoing and ididit CONTEST COMING SOON . Its going be so much fun ! #
khaledkhaled certified url",POS,joy,"everychanceiget keepgoing and ididit CONTEST COMING SOON . Its going be so much fun ! #
khaledkhaled certified "
58,"Every chance I get is the biggest record out,  for the summer and year

@djkhaled @lilbaby @lildurk @wethebestmusic… https://t.co/oEbLSp3yts","Every chance I get is the biggest record out, for the summer and year @USER @USER @USER @USER... HTTPURL","Every chance I get is the biggest record out,  for the summer and year

@user @user @user @user url",NEU,others,"Every chance I get is the biggest record out,  for the summer and year

@user @user @user @user "
59,#EVERYCHANCEIGET,#EVERYCHANCEIGET,everychanceiget,NEU,others,everychanceiget
60,#IDIDIT ON @youtubemusic now https://t.co/BxhekyiaZq,#IDIDIT ON @USER now HTTPURL,ididit ON @user now url,NEU,others,ididit ON @user now 
61,"😳Push play unreleased @capletonmusic vocals 🔥
I had fireman cut 2 verses On #WHEREYOUCOMEFROM just in case anyone a… https://t.co/6Cuk5pvG1c",:flushed_face: Push play unreleased @USER vocals :fire: I had fireman cut 2 verses On #WHEREYOUCOMEFROM just in case anyone a... HTTPURL,"emoji flushed face emoji Push play unreleased @user vocals  emoji fire emoji 
I had fireman cut 2 verses On whereyoucomefrom just in case anyone a url",NEU,others,"emoji flushed face emoji Push play unreleased @user vocals  emoji fire emoji 
I had fireman cut 2 verses On whereyoucomefrom just in case anyone a "
62,"This ain’t normal ting , I never been been normal , MAN DIFFERENT #KHALEDKHALED im just getting started 🔑… https://t.co/aZ9fHCC52W","This ain't normal ting, I never been been normal, MAN DIFFERENT #KHALEDKHALED im just getting started :key:... HTTPURL","This aint normal ting , I never been been normal , MAN DIFFERENT khaledkhaled im just getting started  emoji key emoji  url",NEG,others,"This aint normal ting , I never been been normal , MAN DIFFERENT khaledkhaled im just getting started  emoji key emoji  "
63,"If you haven’t tried @budlight Platinum Seltzer, you’re missing out on the best seltzer in the game. Made with agav… https://t.co/BnsOMKvZzc","If you haven't tried @USER Platinum Seltzer, you're missing out on the best seltzer in the game. Made with agav... HTTPURL","If you havent tried @user Platinum Seltzer, youre missing out on the best seltzer in the game. Made with agav url",POS,others,"If you havent tried @user Platinum Seltzer, youre missing out on the best seltzer in the game. Made with agav "
64,"Did you see the #IDIDIT VIDEO ?🤯🔥
🎥 @davemeyers 🍿
@djkhaled @theestallion @lilbaby @dababy 
NOW ON @youtubemusic… https://t.co/JRfHvEzqvh",Did you see the #IDIDIT VIDEO? :exploding_head: :fire: :movie_camera: @USER :popcorn: @USER @USER @USER @USER NOW ON @USER... HTTPURL,"Did you see the ididit VIDEO ? emoji exploding head emoji  emoji fire emoji 
 emoji movie camera emoji  @user  emoji popcorn emoji 
@user @user @user @user 
NOW ON @user url",NEU,surprise,"Did you see the ididit VIDEO ? emoji exploding head emoji  emoji fire emoji 
 emoji movie camera emoji  @user  emoji popcorn emoji 
@user @user @user @user 
NOW ON @user "
